City,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Windspeed,Country,City Date Time,Weather Description
olinda,-8.0089,-34.8553,71.33,78.0,78.0,4.61,BR,2021-07-24 04:53:11,scattered clouds
xichang,27.8964,102.2634,81.16,68.0,68.0,0.49,CN,2021-07-24 04:53:12,overcast clouds
rungata,,,,,,,,,
cockburn town,21.4612,-71.1419,81.72,82.0,82.0,20.54,TC,2021-07-24 04:53:12,few clouds
puerto ayora,-0.7393,-90.3518,71.55,88.0,88.0,1.99,EC,2021-07-24 04:53:12,broken clouds
leningradskiy,69.3833,178.4167,39.33,83.0,83.0,5.06,RU,2021-07-24 04:53:13,overcast clouds
faanui,-16.4833,-151.75,78.24,65.0,65.0,13.18,PF,2021-07-24 04:53:13,scattered clouds
coihaique,-45.5752,-72.0662,35.55,87.0,87.0,8.05,CL,2021-07-24 04:53:14,broken clouds
yeniseysk,58.4497,92.1703,83.64,33.0,33.0,9.42,RU,2021-07-24 04:53:14,clear sky
attawapiskat,,,,,,,,,
albany,42.6001,-73.9662,61.03,90.0,90.0,3.36,US,2021-07-24 04:53:06,clear sky
bandar-e lengeh,26.5579,54.8807,95.11,71.0,71.0,4.61,IR,2021-07-24 04:53:15,haze
pipri,19.8,75.5333,79.38,83.0,83.0,4.61,IN,2021-07-24 04:53:15,broken clouds
taolanaro,,,,,,,,,
saint-pierre,-21.3393,55.4781,73.04,51.0,51.0,5.75,RE,2021-07-24 04:53:16,clear sky
lompoc,34.6391,-120.4579,64.11,90.0,90.0,4.61,US,2021-07-24 04:53:16,mist
ghatanji,20.1333,78.3167,84.15,70.0,70.0,14.36,IN,2021-07-24 04:53:16,overcast clouds
caravelas,-17.7125,-39.2481,69.93,67.0,67.0,6.93,BR,2021-07-24 04:53:17,broken clouds
fort saint john,,,,,,,,,
le vauclin,14.5452,-60.8388,79.84,94.0,94.0,3.44,MQ,2021-07-24 04:53:17,scattered clouds
port elizabeth,-33.918,25.5701,37.69,93.0,93.0,0.0,ZA,2021-07-24 04:49:38,clear sky
hasaki,35.7333,140.8333,88.2,71.0,71.0,9.66,JP,2021-07-24 04:53:18,clear sky
wagar,16.1525,36.2032,74.91,86.0,86.0,15.03,SD,2021-07-24 04:53:18,overcast clouds
alta floresta,-9.8756,-56.0861,68.61,52.0,52.0,3.58,BR,2021-07-24 04:53:18,few clouds
sinkat,,,,,,,,,
hobart,-42.8794,147.3294,56.26,66.0,66.0,5.01,AU,2021-07-24 04:50:10,light rain
ahipara,-35.1667,173.1667,56.62,75.0,75.0,4.52,NZ,2021-07-24 04:53:19,clear sky
hermanus,-34.4187,19.2345,47.89,60.0,60.0,9.48,ZA,2021-07-24 04:53:20,clear sky
port alfred,-33.5906,26.891,49.51,67.0,67.0,8.08,ZA,2021-07-24 04:53:20,scattered clouds
padang,-0.9492,100.3543,87.85,65.0,65.0,5.61,ID,2021-07-24 04:53:20,overcast clouds
quang ngai,15.1167,108.8,88.48,56.0,56.0,1.63,VN,2021-07-24 04:53:21,overcast clouds
sosua,19.7667,-70.5167,78.53,90.0,90.0,10.49,DO,2021-07-24 04:53:21,clear sky
upernavik,72.7868,-56.1549,38.5,96.0,96.0,12.44,GL,2021-07-24 04:53:21,overcast clouds
vaini,-21.2,-175.2,80.76,89.0,89.0,4.61,TO,2021-07-24 04:53:22,few clouds
nicolas bravo,18.45,-88.9167,77.95,96.0,96.0,0.81,MX,2021-07-24 04:53:22,overcast clouds
talnakh,69.4865,88.3972,67.96,81.0,81.0,19.51,RU,2021-07-24 04:53:23,light rain
saldanha,-33.0117,17.9442,37.45,54.0,54.0,9.37,ZA,2021-07-24 04:53:23,clear sky
qaanaaq,77.484,-69.3632,37.83,79.0,79.0,1.36,GL,2021-07-24 04:53:23,broken clouds
jinan,36.6683,116.9972,95.09,41.0,41.0,2.48,CN,2021-07-24 04:53:24,light rain
vaitupu,,,,,,,,,
axim,4.8699,-2.2405,75.34,81.0,81.0,7.87,GH,2021-07-24 04:53:24,overcast clouds
utiel,39.5667,-1.2,66.65,27.0,27.0,4.9,ES,2021-07-24 04:53:25,clear sky
sambava,-14.2667,50.1667,70.45,70.0,70.0,10.74,MG,2021-07-24 04:53:25,clear sky
pimentel,-6.8367,-79.9342,64.99,83.0,83.0,3.0,PE,2021-07-24 04:53:25,broken clouds
jamestown,42.097,-79.2353,65.84,71.0,71.0,6.91,US,2021-07-24 04:53:26,clear sky
butaritari,3.0707,172.7902,83.98,73.0,73.0,18.12,KI,2021-07-24 04:53:26,light rain
makakilo city,21.3469,-158.0858,80.56,68.0,68.0,9.22,US,2021-07-24 04:53:26,clear sky
kostinbrod,42.8167,23.2167,69.51,64.0,64.0,1.07,BG,2021-07-24 04:53:27,scattered clouds
vallenar,-28.5708,-70.7581,50.97,83.0,83.0,2.24,CL,2021-07-24 04:53:27,clear sky
cayenne,4.9333,-52.3333,80.1,86.0,86.0,0.0,GF,2021-07-24 04:53:27,few clouds
carnarvon,-24.8667,113.6333,69.87,44.0,44.0,16.11,AU,2021-07-24 04:53:28,broken clouds
kota kinabalu,5.9749,116.0724,89.58,79.0,79.0,5.75,MY,2021-07-24 04:53:28,few clouds
jabiru,,,,,,,,,
alegrete,-29.7831,-55.7919,57.92,70.0,70.0,6.93,BR,2021-07-24 04:49:37,clear sky
chokurdakh,70.6333,147.9167,50.85,55.0,55.0,14.85,RU,2021-07-24 04:53:29,overcast clouds
ribeira grande,38.5167,-28.7,71.06,95.0,95.0,8.21,PT,2021-07-24 04:53:29,overcast clouds
cervo,43.6702,-7.4101,63.97,75.0,75.0,10.4,ES,2021-07-24 04:53:30,scattered clouds
mahebourg,-20.4081,57.7,74.25,94.0,94.0,6.91,MU,2021-07-24 04:53:30,broken clouds
nantucket,41.2835,-70.0995,67.96,85.0,85.0,2.39,US,2021-07-24 04:53:30,clear sky
los altos,37.3852,-122.1141,68.43,75.0,75.0,1.99,US,2021-07-24 04:53:02,clear sky
port hardy,50.6996,-127.4199,57.38,100.0,100.0,4.61,CA,2021-07-24 04:49:15,mist
fairbanks,64.8378,-147.7164,68.59,87.0,87.0,0.0,US,2021-07-24 04:52:41,light rain
san-pedro,4.7485,-6.6363,75.16,74.0,74.0,6.29,CI,2021-07-24 04:53:31,overcast clouds
ponta do sol,32.6667,-17.1,70.43,77.0,77.0,5.28,PT,2021-07-24 04:53:32,clear sky
vila velha,-20.3297,-40.2925,64.35,88.0,88.0,4.61,BR,2021-07-24 04:53:32,overcast clouds
kaitangata,-46.2817,169.8464,50.94,72.0,72.0,7.38,NZ,2021-07-24 04:53:32,few clouds
hamilton,39.1834,-84.5333,72.21,85.0,85.0,3.44,US,2021-07-24 04:45:13,clear sky
lasa,46.6166,10.7002,67.03,73.0,73.0,2.26,IT,2021-07-24 04:53:33,broken clouds
la paz,-16.5,-68.15,46.38,52.0,52.0,6.91,BO,2021-07-24 04:50:13,broken clouds
tsihombe,,,,,,,,,
saint-philippe,-21.3585,55.7679,72.95,67.0,67.0,7.38,RE,2021-07-24 04:53:34,few clouds
torbay,47.6666,-52.7314,58.48,97.0,97.0,3.44,CA,2021-07-24 04:53:34,fog
beloha,-25.1667,45.05,63.72,54.0,54.0,8.21,MG,2021-07-24 04:53:34,broken clouds
axixa do tocantins,,,,,,,,,
new norfolk,-42.7826,147.0587,55.92,78.0,78.0,7.0,AU,2021-07-24 04:53:35,overcast clouds
bluff,-46.6,168.3333,49.55,76.0,76.0,5.28,NZ,2021-07-24 04:53:35,broken clouds
pochutla,15.7432,-96.4661,79.83,86.0,86.0,5.03,MX,2021-07-24 04:53:36,overcast clouds
ahuimanu,21.4447,-157.8378,81.75,68.0,68.0,11.5,US,2021-07-24 04:53:36,scattered clouds
atuona,-9.8,-139.0333,77.29,79.0,79.0,11.65,PF,2021-07-24 04:53:36,broken clouds
bethel,41.3712,-73.414,66.69,86.0,86.0,0.0,US,2021-07-24 04:51:59,clear sky
balkhash,46.844,74.9804,86.61,26.0,26.0,8.95,KZ,2021-07-24 04:53:37,clear sky
tselinnoye,53.0833,85.6667,72.93,71.0,71.0,7.78,RU,2021-07-24 04:53:37,overcast clouds
bardiyah,31.7561,25.0865,78.58,60.0,60.0,15.84,LY,2021-07-24 04:53:38,clear sky
salalah,17.0151,54.0924,77.68,96.0,96.0,12.93,OM,2021-07-24 04:53:38,overcast clouds
matara,5.9485,80.5353,81.75,80.0,80.0,11.68,LK,2021-07-24 04:53:39,scattered clouds
ailigandi,9.2333,-78.0167,78.58,87.0,87.0,3.94,PA,2021-07-24 04:53:39,overcast clouds
sola,-13.8833,167.55,80.89,73.0,73.0,14.74,VU,2021-07-24 04:53:39,broken clouds
sosnovo-ozerskoye,52.5249,111.5418,60.06,75.0,75.0,0.67,RU,2021-07-24 04:53:40,overcast clouds
antalaha,-14.9003,50.2788,71.94,68.0,68.0,9.04,MG,2021-07-24 04:53:40,scattered clouds
dikson,73.5069,80.5464,43.7,87.0,87.0,34.9,RU,2021-07-24 04:53:41,moderate rain
severodvinsk,64.5635,39.8302,48.31,71.0,71.0,12.15,RU,2021-07-24 04:53:41,moderate rain
lima,-12.0432,-77.0282,59.25,88.0,88.0,10.36,PE,2021-07-24 04:53:16,light intensity drizzle
codrington,-38.2667,141.9667,52.12,76.0,76.0,16.28,AU,2021-07-24 04:53:41,light rain
namatanai,-3.6667,152.4333,84.16,71.0,71.0,8.43,PG,2021-07-24 04:53:42,broken clouds
sao geraldo do araguaia,-6.4006,-48.555,72.23,47.0,47.0,3.4,BR,2021-07-24 04:53:42,clear sky
mar del plata,-38.0023,-57.5575,50.13,63.0,63.0,11.99,AR,2021-07-24 04:52:12,clear sky
bredasdorp,-34.5322,20.0403,46.27,87.0,87.0,8.05,ZA,2021-07-24 04:53:43,clear sky
utiroa,,,,,,,,,
mys shmidta,,,,,,,,,
chimbote,-9.0853,-78.5783,63.57,84.0,84.0,9.4,PE,2021-07-24 04:52:27,overcast clouds
bud,39.447,-86.1758,75.04,91.0,91.0,5.75,US,2021-07-24 04:53:44,few clouds
arraial do cabo,-22.9661,-42.0278,68.2,73.0,73.0,19.26,BR,2021-07-24 04:53:44,clear sky
muros,42.7762,-9.0603,64.24,94.0,94.0,4.52,ES,2021-07-24 04:53:44,scattered clouds
castro,-24.7911,-50.0119,49.39,77.0,77.0,3.04,BR,2021-07-24 04:53:45,clear sky
east london,-33.0153,27.9116,43.74,87.0,87.0,9.22,ZA,2021-07-24 04:53:45,clear sky
domoni,-12.2569,44.5319,77.32,68.0,68.0,16.26,KM,2021-07-24 04:53:45,light rain
lata,40.1629,-8.3327,60.82,97.0,97.0,1.79,PT,2021-07-24 04:53:46,broken clouds
georgetown,5.4112,100.3354,90.9,66.0,66.0,1.01,MY,2021-07-24 04:53:46,few clouds
lakes entrance,-37.8811,147.981,59.18,49.0,49.0,13.91,AU,2021-07-24 04:53:47,scattered clouds
kupang,-10.1667,123.5833,88.38,40.0,40.0,11.5,ID,2021-07-24 04:53:47,few clouds
thompson,55.7435,-97.8558,57.36,94.0,94.0,8.05,CA,2021-07-24 04:53:47,scattered clouds
cedar city,37.6775,-113.0619,71.4,44.0,44.0,1.32,US,2021-07-24 04:53:48,overcast clouds
amderma,,,,,,,,,
cape town,-33.9258,18.4232,48.11,88.0,88.0,6.91,ZA,2021-07-24 04:53:48,clear sky
magdagachi,53.45,125.8,83.3,45.0,45.0,7.65,RU,2021-07-24 04:53:49,broken clouds
urumqi,43.801,87.6005,86.95,27.0,27.0,6.71,CN,2021-07-24 04:50:42,clear sky
zaysan,47.4667,84.8667,85.23,32.0,32.0,9.57,KZ,2021-07-24 04:53:49,clear sky
tiksi,71.6872,128.8694,45.14,79.0,79.0,6.91,RU,2021-07-24 04:53:50,broken clouds
leshukonskoye,64.8989,45.7622,48.74,64.0,64.0,9.57,RU,2021-07-24 04:53:50,scattered clouds
hofn,64.2539,-15.2082,53.31,99.0,99.0,5.44,IS,2021-07-24 04:53:50,overcast clouds
deputatskiy,69.3,139.9,65.93,45.0,45.0,10.4,RU,2021-07-24 04:53:51,broken clouds
ixtapa,20.7,-105.2,77.23,93.0,93.0,4.14,MX,2021-07-24 04:53:51,overcast clouds
ca mau,9.1769,105.15,91.69,52.0,52.0,13.71,VN,2021-07-24 04:53:52,overcast clouds
eyl,7.9803,49.8164,79.56,63.0,63.0,29.93,SO,2021-07-24 04:53:52,broken clouds
longyearbyen,78.2186,15.6401,44.44,87.0,87.0,10.36,SJ,2021-07-24 04:53:27,broken clouds
udachnyy,66.4167,112.4,71.62,44.0,44.0,12.82,RU,2021-07-24 04:53:53,broken clouds
lebu,-37.6167,-73.65,48.34,82.0,82.0,6.85,CL,2021-07-24 04:53:53,overcast clouds
samusu,,,,,,,,,
talavera de la reina,39.9635,-4.8308,60.06,53.0,53.0,2.84,ES,2021-07-24 04:53:54,scattered clouds
kurumkan,54.3,110.3,71.89,58.0,58.0,3.78,RU,2021-07-24 04:53:54,overcast clouds
cherskiy,68.75,161.3,52.74,56.0,56.0,10.98,RU,2021-07-24 04:53:54,broken clouds
puerto penasco,31.3167,-113.5333,86.92,72.0,72.0,15.01,MX,2021-07-24 04:52:28,overcast clouds
hualmay,-11.0964,-77.6139,62.51,84.0,84.0,8.59,PE,2021-07-24 04:53:55,scattered clouds
mega,4.05,38.3,54.99,78.0,78.0,16.53,ET,2021-07-24 04:53:55,broken clouds
zhigansk,66.7697,123.3711,74.08,36.0,36.0,12.35,RU,2021-07-24 04:53:56,overcast clouds
celestun,20.8667,-90.4,80.04,83.0,83.0,11.9,MX,2021-07-24 04:53:56,overcast clouds
bulungu,-4.55,18.6,64.56,47.0,47.0,1.57,CD,2021-07-24 04:53:11,few clouds
chuy,-33.6971,-53.4616,57.58,91.0,91.0,6.08,UY,2021-07-24 04:53:56,light rain
kollumerland,,,,,,,,,
berlevag,70.8578,29.0864,45.57,84.0,84.0,34.65,NO,2021-07-24 04:53:57,overcast clouds
gornopravdinsk,60.05,69.9,58.78,85.0,85.0,4.34,RU,2021-07-24 04:53:57,light rain
bengkulu,-3.8004,102.2655,84.78,64.0,64.0,5.97,ID,2021-07-24 04:53:58,broken clouds
ancud,-41.8697,-73.8203,35.13,83.0,83.0,7.83,CL,2021-07-24 04:53:58,clear sky
junction city,39.0286,-96.8314,82.4,73.0,73.0,5.01,US,2021-07-24 04:53:59,clear sky
yellowknife,62.456,-114.3525,63.12,94.0,94.0,3.0,CA,2021-07-24 04:53:59,light intensity shower rain
rio claro,-22.4114,-47.5614,48.79,48.0,48.0,4.43,BR,2021-07-24 04:53:59,clear sky
grand gaube,-20.0064,57.6608,74.37,64.0,64.0,8.99,MU,2021-07-24 04:54:00,scattered clouds
gorontalo,0.5412,123.0595,88.56,45.0,45.0,8.48,ID,2021-07-24 04:54:00,overcast clouds
miastko,54.0028,16.9826,61.52,78.0,78.0,5.03,PL,2021-07-24 04:54:00,clear sky
luderitz,-26.6481,15.1594,60.94,26.0,26.0,18.03,NA,2021-07-24 04:54:01,few clouds
manicore,-5.8092,-61.3003,76.95,100.0,100.0,2.3,BR,2021-07-24 04:54:01,clear sky
taybad,34.74,60.7756,94.53,10.0,10.0,18.97,IR,2021-07-24 04:54:02,clear sky
wisconsin rapids,44.3836,-89.8174,78.35,79.0,79.0,9.44,US,2021-07-24 04:54:02,overcast clouds
cap malheureux,-19.9842,57.6142,74.46,64.0,64.0,8.99,MU,2021-07-24 04:54:02,scattered clouds
udalguri,26.7667,92.1333,90.23,69.0,69.0,4.09,IN,2021-07-24 04:54:03,few clouds
russell,32.3502,-85.1999,76.71,91.0,91.0,0.0,US,2021-07-24 04:54:03,clear sky
bubaque,11.2833,-15.8333,78.58,80.0,80.0,11.12,GW,2021-07-24 04:54:03,overcast clouds
north mankato,44.1733,-94.0339,81.95,90.0,90.0,9.22,US,2021-07-24 04:54:04,light rain
santa maria da vitoria,-13.3947,-44.1886,65.66,59.0,59.0,6.49,BR,2021-07-24 04:54:05,few clouds
cidreira,-30.1811,-50.2056,59.7,79.0,79.0,3.58,BR,2021-07-24 04:54:06,clear sky
landang,,,,,,,,,
gravdal,68.1214,13.5031,52.21,98.0,98.0,16.31,NO,2021-07-24 04:54:06,overcast clouds
pacific grove,36.6177,-121.9166,61.43,89.0,89.0,3.0,US,2021-07-24 04:54:07,scattered clouds
hayden,47.766,-116.7866,74.39,43.0,43.0,5.75,US,2021-07-24 04:54:07,clear sky
tasiilaq,65.6145,-37.6368,38.1,99.0,99.0,1.88,GL,2021-07-24 04:54:07,light rain
tuatapere,-46.1333,167.6833,49.17,82.0,82.0,4.21,NZ,2021-07-24 04:54:08,overcast clouds
kamenskoye,,,,,,,,,
westport,41.1415,-73.3579,71.94,84.0,84.0,1.01,US,2021-07-24 04:54:08,scattered clouds
erenhot,43.6475,111.9767,81.63,38.0,38.0,7.63,CN,2021-07-24 04:54:09,overcast clouds
berbera,10.4396,45.0143,89.08,43.0,43.0,33.91,SO,2021-07-24 04:54:09,overcast clouds
port macquarie,-31.4333,152.9167,68.9,51.0,51.0,13.51,AU,2021-07-24 04:54:09,clear sky
kavaratti,10.5669,72.642,81.73,83.0,83.0,19.3,IN,2021-07-24 04:54:10,overcast clouds
tanete,-3.9443,119.7848,88.3,44.0,44.0,12.68,ID,2021-07-24 04:54:10,overcast clouds
fortuna,40.5982,-124.1573,55.92,84.0,84.0,6.91,US,2021-07-24 04:54:10,clear sky
nampula,-15.1165,39.2666,64.35,77.0,77.0,14.97,MZ,2021-07-24 04:54:11,broken clouds
binga,-17.6203,27.3414,61.02,44.0,44.0,5.64,ZW,2021-07-24 04:54:11,broken clouds
atar,20.5169,-13.0499,82.72,28.0,28.0,5.57,MR,2021-07-24 04:54:12,few clouds
sinnamary,5.3833,-52.95,76.86,89.0,89.0,11.45,GF,2021-07-24 04:54:12,broken clouds
cabo san lucas,22.8909,-109.9124,88.81,77.0,77.0,8.99,MX,2021-07-24 04:54:12,clear sky
san carlos de bariloche,-41.1456,-71.3082,29.95,55.0,55.0,6.91,AR,2021-07-24 04:54:13,clear sky
marovoay,-16.1,46.6333,66.34,58.0,58.0,8.25,MG,2021-07-24 04:54:13,clear sky
tukrah,32.5341,20.5791,77.67,63.0,63.0,7.58,LY,2021-07-24 04:54:13,clear sky
victoria,22.2855,114.1577,94.24,77.0,77.0,1.99,HK,2021-07-24 04:50:59,clear sky
barrow,71.2906,-156.7887,37.42,87.0,87.0,12.66,US,2021-07-24 04:50:01,overcast clouds
haines junction,60.7522,-137.5108,60.75,51.0,51.0,13.8,CA,2021-07-24 04:54:14,scattered clouds
nikolskoye,59.7035,30.7861,61.81,56.0,56.0,4.36,RU,2021-07-24 04:54:15,broken clouds
manta,-0.95,-80.7333,73.18,83.0,83.0,8.05,EC,2021-07-24 04:54:15,overcast clouds
teguise,29.0605,-13.564,68.22,78.0,78.0,25.32,ES,2021-07-24 04:54:15,clear sky
dali,25.7,100.1833,76.08,63.0,63.0,3.13,CN,2021-07-24 04:54:16,broken clouds
sur,22.5667,59.5289,93.96,51.0,51.0,9.64,OM,2021-07-24 04:54:16,overcast clouds
gvarv,59.3875,9.1737,67.39,64.0,64.0,1.23,NO,2021-07-24 04:54:16,clear sky
komsomolskiy,40.4272,71.7189,92.12,27.0,27.0,2.3,UZ,2021-07-24 04:54:17,clear sky
kahului,20.8947,-156.47,80.62,81.0,81.0,23.02,US,2021-07-24 04:52:15,scattered clouds
kruisfontein,-34.0033,24.7314,40.62,77.0,77.0,6.73,ZA,2021-07-24 04:54:17,clear sky
deshnok,27.7986,73.3447,92.34,46.0,46.0,2.86,IN,2021-07-24 04:54:18,broken clouds
maracaibo,10.6317,-71.6406,81.23,79.0,79.0,9.17,VE,2021-07-24 04:54:18,overcast clouds
nuuk,64.1835,-51.7216,42.3,94.0,94.0,33.42,GL,2021-07-24 04:54:18,light rain
mangai,-4.05,19.5333,63.77,45.0,45.0,0.25,CD,2021-07-24 04:54:19,clear sky
gangotri,,,,,,,,,
kapaa,22.0752,-159.319,82.38,82.0,82.0,1.99,US,2021-07-24 04:54:19,light rain
nortelandia,-14.4547,-56.8028,69.51,50.0,50.0,3.87,BR,2021-07-24 04:54:20,few clouds
poum,-20.2333,164.0167,74.8,82.0,82.0,7.02,NC,2021-07-24 04:54:20,clear sky
hesla,24.0667,85.8833,79.54,87.0,87.0,12.1,IN,2021-07-24 04:54:20,overcast clouds
saryshagan,,,,,,,,,
kachikau,,,,,,,,,
rocha,-34.4833,-54.3333,56.77,87.0,87.0,3.51,UY,2021-07-24 04:54:21,broken clouds
panama city,8.9936,-79.5197,79.38,91.0,91.0,2.3,PA,2021-07-24 04:51:04,broken clouds
kodiak,57.79,-152.4072,51.19,97.0,97.0,7.65,US,2021-07-24 04:54:22,overcast clouds
atyrau,47.1167,51.8833,75.22,78.0,78.0,13.42,KZ,2021-07-24 04:54:22,scattered clouds
arcata,40.8665,-124.0828,56.19,76.0,76.0,5.03,US,2021-07-24 04:54:22,clear sky
belushya guba,,,,,,,,,
serebryanyy bor,56.8,124.8,57.11,96.0,96.0,6.78,RU,2021-07-24 04:54:23,light rain
rudnogorsk,57.2639,103.7519,80.49,32.0,32.0,5.91,RU,2021-07-24 04:54:23,clear sky
asau,46.4333,26.4,67.39,71.0,71.0,0.81,RO,2021-07-24 04:54:24,overcast clouds
central point,42.376,-122.9164,84.33,23.0,23.0,8.05,US,2021-07-24 04:50:27,clear sky
broome,42.2506,-75.833,61.0,83.0,83.0,0.45,US,2021-07-24 04:54:24,clear sky
lavumisa,-27.31,31.892,45.73,64.0,64.0,4.54,SZ,2021-07-24 04:54:25,scattered clouds
rajshahi,24.3667,88.6,81.64,87.0,87.0,14.0,BD,2021-07-24 04:54:25,overcast clouds
fairfield,41.2668,-73.3162,68.97,81.0,81.0,0.0,US,2021-07-24 04:50:37,clear sky
saint george,37.1041,-113.5841,86.63,45.0,45.0,1.01,US,2021-07-24 04:54:25,clear sky
nizhneyansk,,,,,,,,,
rence,45.89,13.6686,73.99,82.0,82.0,4.61,SI,2021-07-24 04:54:26,scattered clouds
indian head,38.6001,-77.1622,71.89,82.0,82.0,0.0,US,2021-07-24 04:54:26,clear sky
saskylakh,71.9167,114.0833,57.58,67.0,67.0,15.59,RU,2021-07-24 04:54:27,overcast clouds
morro bay,35.3658,-120.8499,64.26,89.0,89.0,1.01,US,2021-07-24 04:54:27,scattered clouds
kloulklubed,7.0419,134.2556,85.03,76.0,76.0,16.75,PW,2021-07-24 04:54:28,overcast clouds
northam,51.0333,-4.2167,62.65,95.0,95.0,18.63,GB,2021-07-24 04:54:28,overcast clouds
iqaluit,63.7506,-68.5145,47.93,76.0,76.0,3.0,CA,2021-07-24 04:54:28,broken clouds
lazaro cardenas,17.9583,-102.2,80.98,84.0,84.0,2.08,MX,2021-07-24 04:54:29,overcast clouds
kassala,15.451,36.4,72.97,90.0,90.0,11.81,SD,2021-07-24 04:54:29,overcast clouds
nelson bay,-32.7167,152.15,64.99,51.0,51.0,5.01,AU,2021-07-24 04:54:29,few clouds
namibe,-15.1961,12.1522,64.27,78.0,78.0,3.58,AO,2021-07-24 04:53:32,clear sky
constitucion,-35.3333,-72.4167,50.18,88.0,88.0,6.6,CL,2021-07-24 04:54:30,broken clouds
zhaozhou,45.6833,125.3167,92.79,39.0,39.0,15.84,CN,2021-07-24 04:54:30,broken clouds
bougouni,11.417,-7.479,70.54,96.0,96.0,6.17,ML,2021-07-24 04:54:31,overcast clouds
imbituba,-28.24,-48.6703,62.82,76.0,76.0,10.74,BR,2021-07-24 04:54:31,clear sky
mokhsogollokh,61.4681,128.9203,60.08,97.0,97.0,10.45,RU,2021-07-24 04:54:31,moderate rain
esperance,-33.8667,121.9,60.64,69.0,69.0,22.77,AU,2021-07-24 04:54:32,overcast clouds
yar-sale,66.8333,70.8333,60.76,53.0,53.0,8.84,RU,2021-07-24 04:54:32,clear sky
nome,64.5011,-165.4064,54.16,72.0,72.0,13.29,US,2021-07-24 04:54:33,scattered clouds
grindavik,63.8424,-22.4338,55.56,100.0,100.0,14.97,IS,2021-07-24 04:54:33,overcast clouds
palabuhanratu,,,,,,,,,
solnechnyy,50.7214,136.6319,96.4,30.0,30.0,11.27,RU,2021-07-24 04:54:33,scattered clouds
yumen,40.2833,97.2,83.93,34.0,34.0,5.57,CN,2021-07-24 04:54:34,overcast clouds
touros,-5.1989,-35.4608,74.3,82.0,82.0,15.48,BR,2021-07-24 04:54:34,scattered clouds
vila franca do campo,37.7167,-25.4333,70.21,95.0,95.0,6.04,PT,2021-07-24 04:54:35,overcast clouds
boffa,10.1667,-14.0333,74.3,93.0,93.0,2.15,GN,2021-07-24 04:54:35,light rain
araguatins,,,,,,,,,
honningsvag,70.9821,25.9704,45.84,92.0,92.0,29.82,NO,2021-07-24 04:54:36,overcast clouds
klaksvik,62.2266,-6.589,50.92,93.0,93.0,16.02,FO,2021-07-24 04:54:36,few clouds
